stdntid,blockid,classid,tfa,classsize,femstdnt,blkstdnt,hstdnt,wstdnt,pre_ts,femteach,blkteach,hteach,wteach,teach_exp,teach_cert,ts
31,27,21,0,24,0,0,0,1,58.46407127836525,0,1,0,0,14,1,38.3971228600561
32,42,81,0,28,0,0,0,1,55.091407622706996,0,0,0,1,17,1,37.36759579717302
33,28,87,0,22,1,0,1,0,51.31695688571007,0,0,0,1,2,1,37.47289820835998
34,16,80,0,29,0,0,1,0,69.70137982462478,0,1,0,0,15,1,47.39580152795105
35,15,70,0,22,0,0,1,0,71.17923600704903,1,1,0,0,6,1,51.87807737745133
36,47,72,1,24,0,0,1,0,43.847702499823455,0,1,1,0,5,0,24.214017280597254
37,44,25,0,26,1,0,1,0,56.12204787231667,1,0,0,1,14,1,50.595649651555995
38,3,82,1,28,0,1,1,0,68.74376497177832,0,0,0,1,19,1,40.187979491368175
39,37,89,0,26,1,1,0,0,42.1495541899999,1,0,0,1,9,1,35.419394304876256
40,7,12,1,26,0,0,0,1,52.43139574311877,1,0,0,1,8,1,33.745044050955435
41,21,15,0,23,0,1,0,0,60.03875442282491,1,0,0,1,3,0,38.213773715647115
42,9,59,0,27,1,0,0,1,29.85106595058931,1,0,0,1,18,0,29.93208338643988
43,39,26,1,23,0,0,0,1,58.28555228697889,1,0,0,1,8,1,31.03923052559347
44,18,26,1,20,0,1,0,0,39.11567976589602,1,0,0,1,16,1,23.055786544268496
45,4,47,0,18,0,0,1,0,51.92331364955668,0,0,0,1,15,0,37.15012186596867
46,25,32,1,24,1,0,1,0,61.44344850891818,0,1,0,0,15,0,41.10530602439482
47,14,10,0,21,0,1,0,0,26.10819304060071,1,1,0,0,16,0,18.12182673778528
48,50,16,0,18,1,0,0,1,57.85858887743896,0,0,0,1,1,1,31.400450518146485
49,9,71,0,25,0,1,1,0,70.38328984630832,1,0,0,1,10,1,44.48191984613384
50,26,17,0,29,0,0,0,1,44.66699000334136,1,1,0,0,19,1,33.79492870983967
51,2,23,1,23,0,0,0,1,55.76690146784124,0,0,0,1,5,1,31.892775284976413
52,20,26,0,23,1,0,0,1,63.35286330699388,0,0,0,1,18,0,48.99203471848849
53,28,85,0,19,0,0,0,1,34.07054951790026,1,0,1,0,3,1,28.136754364753283
54,47,86,1,18,0,1,0,0,57.57369758533753,1,0,0,1,4,1,35.33395402860866
55,7,7,1,19,0,0,1,0,60.23766232597781,1,0,0,1,4,1,35.71085373163689
56,44,14,0,21,0,0,0,1,56.386202199367666,1,0,0,1,11,0,23.59932964174941
57,8,79,1,19,0,0,0,1,50.86622692205122,1,0,0,1,9,1,28.5254309435239
58,47,7,0,18,1,0,0,1,39.995872181938736,0,0,0,1,1,1,20.595841626363793
59,35,9,1,24,0,0,0,1,63.914233535362435,0,0,0,1,16,1,33.43370796654398
60,14,48,1,28,0,1,1,0,50.345035652316575,0,0,0,1,9,1,31.9171390030069
61,17,72,1,28,1,0,0,1,40.96119587376404,1,0,0,1,11,1,34.72712032588899
62,36,59,0,29,0,0,0,1,46.81974169585431,0,0,0,1,6,1,38.6051217288799
63,50,87,0,25,0,1,0,0,53.68385491334677,1,0,0,1,17,0,36.25276625501153
64,40,93,0,23,0,0,0,1,34.3881504311579,1,0,0,1,12,1,14.12512131946978
65,4,82,0,21,1,0,0,1,50.17930352584118,1,0,0,1,8,1,34.62886195882145
66,2,95,0,23,0,1,0,0,45.83122782942011,0,0,0,1,16,0,32.79155807536357
67,6,94,1,20,0,0,0,1,63.36026481365989,0,0,0,1,5,0,38.859095153637575
68,42,39,0,29,0,0,0,1,31.25109402712271,1,0,0,1,1,1,24.82479646424569
69,4,99,0,25,1,0,0,1,59.38757642502484,1,0,0,1,17,1,41.773800987192054
70,29,18,1,27,0,1,1,0,64.17094825602516,1,0,0,1,8,1,47.5227555509398
71,18,59,0,19,1,1,1,0,31.629113628521374,0,0,0,1,10,1,24.207618548201555
72,26,17,1,22,1,1,0,0,32.82817514192925,1,0,0,1,18,0,29.714293004815435
73,44,14,0,18,1,0,0,1,67.85900046566479,1,0,0,1,15,0,50.21517471724707
74,34,31,0,23,0,0,0,1,40.95627951397067,0,0,0,1,20,1,22.747987106826727
75,10,24,0,19,0,0,1,0,80.9482912048845,1,0,0,1,13,1,51.99302194872658
76,36,99,0,21,0,0,0,1,31.941599644798337,1,1,0,0,10,1,24.133764374645857
77,14,60,1,23,0,0,0,1,51.700474049871204,1,0,0,1,9,1,27.40701138670819
78,31,45,0,27,0,1,0,0,49.76606262747283,0,0,1,0,13,1,32.4676088403013
79,48,98,1,28,1,1,1,0,47.91804232435043,1,0,0,1,3,1,42.13521498710293
80,15,3,0,25,0,0,0,1,54.62962360705782,0,0,0,1,3,1,35.7568648310853
81,8,37,0,29,0,0,0,1,55.206464247290675,0,1,0,0,1,1,40.25032929722091
82,14,43,1,25,1,0,0,1,48.32341017370896,1,0,0,1,2,1,38.09268272075457
83,23,40,0,28,1,0,0,1,39.85826056172729,1,0,0,1,11,1,28.01680184919954
84,40,90,1,23,0,1,0,0,60.4776036424138,1,0,0,1,14,1,43.98036098963626
85,21,55,1,21,1,1,1,0,56.28052663082836,1,0,1,0,10,0,36.56318538698345
86,16,87,1,25,0,0,1,0,51.145836906160746,0,0,0,1,7,1,31.255316195055663
87,45,39,1,25,1,0,0,1,55.963674824173594,0,0,0,1,1,1,34.488223107918024
88,18,15,0,27,1,0,1,0,57.689414500911305,1,1,0,0,7,1,39.33225672151712
89,47,4,0,18,1,0,0,1,42.3826795651868,1,0,0,1,15,1,46.07444384838388
90,24,93,0,21,1,0,0,1,55.60680373481806,1,0,0,1,11,1,41.590855700665365
91,26,86,1,21,0,0,0,1,44.469642744816575,1,0,0,1,6,1,38.67209419958661
92,25,25,1,24,0,0,1,0,58.020333565868,1,0,0,1,7,1,39.64015254208577
93,45,13,0,28,1,1,0,0,48.07600413576769,1,0,0,1,7,1,32.85099342782696
94,41,82,1,24,0,0,0,1,56.1171957368172,0,0,1,0,1,1,31.9123786225723
95,29,33,0,28,1,0,1,0,45.66204700290477,1,0,0,1,10,1,35.70482156267611
96,15,16,1,25,0,0,0,1,56.63702435937673,1,0,0,1,15,0,36.02317298775305
97,45,42,0,28,0,0,0,1,40.212307708839916,0,1,0,0,8,1,24.51762351835252
98,1,66,1,22,0,0,0,1,50.361688798634624,1,0,1,0,19,1,36.67573308178692
99,25,55,1,24,0,0,0,1,59.80632515109934,1,0,0,1,3,1,40.02064536282961
100,7,99,0,25,1,0,1,0,54.67204657245925,1,0,0,1,15,1,45.00319655712919
101,9,42,0,26,1,0,0,1,51.920287334492116,1,0,1,0,4,1,46.32559528832452
102,24,34,0,20,1,1,0,0,68.03561339650639,0,0,0,1,6,1,41.90393887400163
103,1,30,0,20,1,0,0,1,60.236368684889214,0,0,0,1,10,0,45.711284133573656
104,44,13,0,21,1,1,0,0,58.55539949253127,0,0,0,1,18,1,46.26124934199071
105,8,13,1,22,1,0,0,1,56.58027778916505,0,0,0,1,16,1,44.65767064118526
106,24,18,1,27,0,0,0,1,57.826968722466646,1,1,1,0,18,1,29.55652718144413
107,11,32,1,18,1,0,1,0,66.57102010552164,0,0,0,1,6,1,52.37104471562733
108,17,96,0,24,0,0,0,1,45.823313122790054,0,0,0,1,19,1,26.40199296839668
109,8,99,1,26,0,1,0,0,60.094039652752414,1,0,1,0,17,0,30.56306227256919
110,35,39,1,25,1,0,0,1,53.56487888774776,1,0,0,1,18,1,49.664477786578686
111,35,46,0,22,0,1,0,0,46.16882462866007,1,0,0,1,13,0,33.97831661806582
112,33,29,1,21,0,1,0,0,49.0027489695872,1,0,0,1,7,1,35.28517404427246
113,5,62,1,29,0,0,0,1,52.19154681546343,1,0,0,1,20,0,33.15456630971813
114,42,93,0,24,0,0,1,0,41.40059932330578,0,0,0,1,12,0,27.910849156468352
115,39,62,0,22,1,0,0,1,58.64012775500447,0,0,1,0,2,0,37.04749404877049
116,41,57,0,24,0,1,0,0,48.97148575910961,1,0,0,1,12,0,29.92187740131781
117,28,16,0,29,0,1,0,0,50.84929162242673,1,0,0,1,12,1,34.28452921045968
118,7,56,1,18,0,0,1,0,63.57202549927807,0,1,0,0,4,1,39.748906336055846
119,9,10,1,18,0,1,0,0,51.29748205226802,0,1,0,0,4,1,25.21031918837725
120,8,30,1,27,1,0,0,1,65.52668444421106,1,1,0,0,18,1,48.25417129395719
121,12,25,0,20,0,0,0,1,44.75185491104856,0,0,0,1,16,0,20.15348858729304
122,34,84,0,28,1,0,0,1,39.02930161205349,0,0,1,0,14,1,37.259337977817566
123,33,5,1,19,1,0,0,1,47.10006853055117,0,0,0,1,17,1,31.957134317126307
124,48,65,1,19,1,1,1,0,21.85285300508187,1,0,0,1,17,1,16.464234876390208
125,23,94,0,24,1,0,0,1,59.057617524709435,1,0,0,1,3,0,45.3106615182737
126,24,49,1,29,1,0,0,1,39.611014587125055,0,0,0,1,6,0,23.473111821565073
127,37,3,1,27,0,0,0,1,43.8230457855373,1,0,0,1,13,1,29.85754079060885
128,35,45,0,19,0,0,0,1,57.16278561620927,0,0,0,1,9,1,38.46517712518484
129,44,14,0,28,0,0,0,1,51.19121097917891,1,0,0,1,9,1,29.021272671494245
130,40,30,1,21,1,0,0,1,45.594545419198795,1,0,1,0,8,1,45.36527387870494
131,22,68,0,19,0,0,0,1,29.634576274782308,1,0,0,1,17,1,31.715318108780277
132,27,18,0,23,0,0,0,1,63.00808029897194,1,1,0,0,16,1,38.91758154819077
133,35,62,0,25,0,0,0,1,57.230800334764645,0,0,0,1,16,1,30.96184929683504
134,1,37,0,27,0,0,0,1,70.55721329698251,1,0,0,1,19,1,43.27428716770231
135,35,25,1,21,0,0,1,0,44.03620164009593,0,0,0,1,16,1,26.278950565577638
136,37,48,1,22,1,0,0,1,35.45549735621992,0,0,0,1,14,0,31.065050883541105
137,47,65,0,21,0,0,0,1,59.947552852644236,1,0,0,1,20,0,36.904965861810474
138,14,53,1,20,1,0,1,0,48.119400825996486,0,0,0,1,14,1,27.30333450924926
139,3,79,1,22,1,0,0,1,56.28169859068956,1,0,0,1,14,0,43.01688668227502
140,1,73,1,26,0,0,1,0,66.19915287326556,0,0,0,1,14,1,34.50522376221872
141,5,15,0,25,0,1,1,0,53.88153096464177,1,0,0,1,12,1,41.328893911551965
142,26,49,0,25,0,1,1,0,51.67298900545533,1,0,0,1,6,1,36.94375681310184
143,14,88,1,25,0,0,1,0,52.3000278630559,1,0,0,1,20,0,31.880568708663645
144,39,68,1,29,1,0,0,1,33.62751814035335,0,0,0,1,13,1,21.93290525683373
145,27,12,0,25,0,1,0,0,61.08038209483047,0,0,0,1,16,1,40.1319046272593
146,9,59,0,24,0,0,0,1,61.72086162249162,1,0,0,1,9,1,34.90728473611324
147,15,37,0,25,1,0,0,1,55.30570024962524,1,1,0,0,2,0,36.303941621385924
148,15,61,1,28,1,1,0,0,34.84595365069168,1,0,0,1,3,0,27.09050670607155
149,26,43,1,25,1,0,0,1,48.788511748629865,0,0,0,1,10,1,26.67919386082523
150,42,70,0,25,1,0,0,1,64.38525775392854,1,0,0,1,20,0,44.859461653778894
151,13,39,0,29,1,0,1,0,44.34246337026532,0,0,0,1,2,1,23.800183426592817
152,32,56,1,27,0,0,1,0,61.8425305191366,1,0,0,1,10,0,47.73651411307863
153,39,63,1,24,1,0,1,0,50.55096492656854,1,0,0,1,8,0,36.573400425761946
154,49,46,0,29,0,0,0,1,57.125038395159606,0,1,0,0,17,1,31.750902767022637
155,32,88,1,18,1,0,1,0,45.87858587175217,0,0,0,1,1,0,33.18939948013222
156,4,11,1,21,1,0,1,0,50.843808816456665,0,0,0,1,6,1,30.80385599238277
157,30,62,0,21,0,0,0,1,54.36715248168878,1,1,0,0,7,0,30.217862970165932
158,37,77,1,22,1,0,0,1,39.16766026105816,0,0,0,1,15,0,32.188245751924626
159,23,98,0,27,1,0,1,0,52.739131289790116,1,0,1,0,18,1,38.687771083210876
160,39,25,1,23,0,0,1,0,23.11474700203139,0,0,0,1,9,1,19.963954722348
161,45,71,1,21,1,0,0,1,43.984982131782274,1,0,0,1,8,1,34.57571992406135
162,15,52,1,19,0,1,0,0,55.43883014363779,1,0,0,1,10,0,37.409292013414955
163,43,4,1,23,1,0,0,1,61.202629205505616,1,0,0,1,4,0,47.07747147170153
164,29,59,0,25,0,0,0,1,54.727521417992286,1,1,0,0,20,1,33.162376048911035
165,36,72,1,25,1,0,1,0,36.096832261690324,1,0,0,1,8,1,25.86702652295872
166,13,20,1,24,1,0,1,0,60.32858128865581,0,0,1,0,1,1,44.49633280349955
167,32,93,0,23,1,0,0,1,38.60850268477266,0,0,0,1,8,1,29.819698143795744
168,7,63,1,19,1,0,0,1,56.14198551424351,0,0,0,1,12,1,37.507701397297
169,22,54,1,24,0,0,0,1,38.94166255407142,1,0,1,0,15,1,31.093502094560662
170,28,74,0,28,1,0,0,1,42.26793795637843,1,0,1,0,13,1,36.77156131817777
171,2,98,1,29,0,1,0,0,40.43650864069518,0,0,0,1,16,1,31.218419519511386
172,42,57,1,22,1,1,0,0,51.389585892817195,1,0,0,1,18,1,33.77957882128824
173,45,90,0,23,0,0,0,1,48.044654863754346,1,0,0,1,1,0,30.295897716407616
174,6,41,1,27,0,0,0,1,55.08909437630692,0,1,0,0,17,1,40.91247162574214
175,28,3,0,25,1,0,0,1,49.813651613268924,1,0,0,1,16,1,47.01432634814626
176,28,6,0,25,0,0,0,1,34.82126546412961,1,0,0,1,5,1,20.96306804441117
177,44,5,0,20,0,0,0,1,52.75812468097975,0,1,1,0,20,1,34.45070173264316
178,44,5,1,29,0,0,0,1,32.3783434956713,1,0,0,1,10,1,23.023685190325924
179,20,54,1,29,0,1,0,0,41.16146006950997,0,1,0,0,6,1,19.915969963155003
180,30,47,0,24,0,0,1,0,46.360866679209984,1,0,0,1,12,1,30.038720975405923
181,11,87,0,18,0,0,1,0,45.667965928103555,0,0,0,1,10,0,21.50731616322977
182,28,49,1,18,0,0,1,0,33.525873394939744,1,1,0,0,17,1,22.988915990358088
183,25,9,0,24,0,0,1,0,63.71159553538192,0,0,0,1,2,1,33.596862937306014
184,39,99,1,27,1,0,0,1,66.480027900567,1,1,0,0,19,1,49.32759064775102
185,33,20,1,26,0,0,0,1,72.50775104308948,0,1,0,0,20,1,43.95516452433755
186,1,61,1,24,1,1,0,0,61.476514174896565,1,1,0,0,6,0,43.19683310602982
187,27,35,1,27,1,0,1,0,46.04553461209726,1,0,0,1,13,0,44.10442819927282
188,13,50,0,22,0,0,1,0,45.87320479051425,0,0,0,1,9,1,29.76796871857681
189,41,82,1,25,1,1,0,0,45.32106163826775,1,0,0,1,12,1,45.24374891006504
190,3,62,1,19,1,0,0,1,69.85637686225776,1,1,0,0,18,0,52.80568378343304
191,39,17,1,26,1,0,0,1,48.84458531034839,1,0,0,1,8,1,41.64451548583945
192,6,88,0,23,1,1,0,0,62.69232906920227,1,0,0,1,18,1,41.927785599499245
193,8,3,1,26,0,0,0,1,61.91434977719439,1,0,0,1,2,1,35.74021665166099
194,27,32,0,19,1,0,0,1,51.895478560808705,1,0,0,1,8,1,39.483606532780755
195,9,99,0,20,1,0,0,1,35.48359156270495,1,0,0,1,10,0,35.85553112122288
196,37,13,0,29,1,1,0,0,49.06081361349084,0,0,1,0,9,1,31.511718062324842
197,33,89,1,25,0,0,0,1,51.46966276212952,1,1,0,0,18,1,27.384536201132487
198,42,73,1,18,1,0,0,1,62.77921289902985,1,0,0,1,8,1,47.91747953215341
199,44,68,1,27,1,0,1,0,50.19457912100292,0,1,0,0,19,0,34.52663902400219
200,24,14,1,24,0,0,0,1,37.91394436375194,0,0,0,1,3,1,20.803316231565265
201,15,98,0,24,0,0,1,0,59.879099977317054,1,0,0,1,9,0,37.45214105157127
202,32,11,1,18,0,0,1,0,47.724586775025124,1,0,0,1,13,1,27.98938371053887
203,32,56,0,26,1,0,0,1,24.547504503634634,0,0,0,1,9,0,23.23803645849464
204,24,67,1,25,1,0,0,1,53.24984574576745,1,0,0,1,20,1,40.566527932417095
205,41,92,1,21,1,1,0,0,55.007712941202094,1,0,1,0,12,1,42.86701471417915
206,49,29,1,27,0,0,0,1,41.57061807134212,1,0,0,1,13,1,25.67023838176803
207,49,9,1,28,1,0,1,0,48.07954199376911,0,0,0,1,8,0,39.288861444384494
208,12,67,0,22,0,1,0,0,56.577170259739496,1,0,0,1,15,1,38.8002855905672
209,39,25,0,19,0,0,1,0,53.31784801202283,0,0,0,1,13,1,23.495030227364172
210,2,98,1,26,1,0,0,1,34.37343049885001,0,0,0,1,13,1,27.13396627334551
211,3,76,0,29,1,1,0,0,62.53550166497368,1,0,0,1,17,1,44.90969754063766
212,49,42,0,29,1,0,0,1,67.0633061953865,0,0,0,1,15,0,43.66825827674619
213,37,9,0,23,1,0,0,1,44.89816113968158,1,1,0,0,19,1,40.497351444273725
214,49,79,1,20,0,0,0,1,30.901284270774134,1,0,0,1,3,0,21.293628651536938
215,17,40,0,29,0,0,1,0,57.71112806802951,1,0,0,1,14,1,46.928388465706085
216,49,25,0,24,1,0,0,1,43.26907560821907,1,0,0,1,10,0,34.98941105568664
217,2,5,1,26,1,0,0,1,55.3544879508525,1,0,0,1,17,1,39.589607715715445
218,2,11,1,20,0,0,0,1,72.02170466567038,1,0,0,1,8,1,37.406583061280344
219,28,59,0,19,0,0,0,1,34.536924208111486,1,0,0,1,18,1,20.79280478510761
220,23,98,0,24,0,0,1,0,42.03379120187676,1,0,0,1,12,0,27.26904911628025
221,37,88,0,24,1,0,1,0,48.05520406451551,1,0,1,0,17,1,44.874563300405484
222,32,79,0,21,0,1,0,0,62.916783613589416,0,0,0,1,11,1,37.5372985145891
223,33,38,0,28,0,0,1,0,85.55617129553275,1,0,0,1,9,0,62.933762745523424
224,1,72,1,26,0,1,0,0,52.47085187099628,0,0,1,0,15,0,27.990960865752317
225,19,5,1,25,0,0,0,1,33.677772592754806,1,1,0,0,9,0,19.73432342255552
226,2,48,1,18,1,0,0,1,46.54478625748777,1,0,0,1,12,1,42.22175669124166
227,44,90,0,18,0,0,1,0,42.251365137620155,1,1,0,0,11,1,25.96520897753607
228,26,18,1,22,1,0,0,1,57.215854776857896,1,0,0,1,17,0,48.535656094583544
229,32,70,0,23,1,0,0,1,53.76884703298933,1,0,0,1,6,1,36.06980063434648
230,6,37,1,20,1,0,0,1,39.58186631995402,1,0,0,1,8,1,28.378669001176544
231,32,60,1,26,0,0,0,1,41.66514575752869,0,0,1,0,10,1,30.208332124302046
232,4,48,0,29,1,0,0,1,46.399427774256615,0,0,0,1,15,0,28.028149921141306
233,11,77,1,27,1,0,0,1,47.606416899372505,1,0,0,1,4,1,34.731828411697904
234,17,28,0,23,1,0,0,1,49.57811083830422,0,0,0,1,18,0,35.880759631429946
235,38,69,1,21,1,0,0,1,50.48873215194416,1,0,0,1,11,1,37.62021064537973
236,24,77,0,29,0,0,0,1,62.348505377345376,1,0,0,1,9,0,37.986211213158306
237,5,81,0,24,0,0,0,1,46.037889879785595,0,0,0,1,9,1,23.476594397974704
238,34,40,1,25,0,0,0,1,44.56433159753417,1,0,0,1,8,1,37.245241998278914
239,6,45,0,26,1,0,0,1,36.612259791101174,1,0,0,1,3,1,37.45791708373708
240,22,96,1,28,0,1,1,0,47.76140767382475,1,0,0,1,18,0,33.96352291865531
241,11,62,0,23,0,0,0,1,52.56196246193049,1,0,0,1,14,1,34.11659173242633
242,48,93,1,23,0,0,0,1,32.75903638406821,1,1,1,0,3,0,21.07956303530192
243,16,58,1,25,0,0,0,1,46.575714066054275,1,1,0,0,17,1,35.816392980313566
244,33,67,1,29,0,1,1,0,61.60294129920044,1,0,0,1,4,1,44.66067490773996
245,9,56,0,22,0,0,1,0,56.483060427012106,1,0,0,1,18,1,34.849071981945514
246,6,40,0,20,0,1,0,0,53.73433172760792,0,0,0,1,15,1,39.863639905230926
247,16,98,0,29,0,0,0,1,56.21212298974505,1,0,0,1,19,0,40.39271871459385
248,29,40,0,20,0,0,0,1,44.262957301103754,0,0,0,1,6,1,33.283893089505334
249,3,91,1,23,0,1,0,0,42.93080214094038,0,0,0,1,15,0,19.999596559192376
250,20,77,1,19,1,0,0,1,62.71908780738157,0,0,0,1,7,0,39.14543533368406
251,36,33,1,23,1,0,0,1,58.28639379424876,0,0,0,1,12,1,38.267329192058874
252,19,6,1,23,0,1,0,0,42.53726978368896,1,0,0,1,16,1,26.9175933881543
253,26,88,1,25,0,1,0,0,31.212760403220138,1,0,0,1,9,1,31.704271212619112
254,3,19,1,24,1,0,0,1,42.744844515196824,1,0,0,1,20,0,32.097568523533766
255,19,80,0,25,1,0,0,1,55.435342274659135,0,0,0,1,5,1,38.85316746597012
256,20,40,1,26,1,1,0,0,43.4173985727677,1,0,0,1,11,1,35.40463872228189
257,32,92,1,23,1,0,0,1,53.30067810800516,1,0,1,0,2,0,37.58927087667689
258,7,97,1,20,0,1,0,0,64.19770553898898,1,1,0,0,16,1,38.71542218536341
259,41,59,0,27,0,0,0,1,49.069729222069256,0,0,0,1,4,1,40.761080194247704
260,33,59,0,20,0,0,0,1,52.339601529848785,1,0,0,1,5,1,33.04439927649839
261,40,48,0,28,1,1,0,0,56.84903856499566,1,0,0,1,7,1,46.59734605110565
262,39,41,1,29,1,0,0,1,39.17915741672464,1,0,0,1,6,1,31.39925278528084
263,18,13,1,18,1,0,0,1,42.26950774987949,0,0,0,1,10,1,27.06809634201194
264,40,45,0,28,0,0,0,1,57.26161159903547,1,0,0,1,14,0,38.63842484669677
265,1,89,1,22,1,0,0,1,50.369675205491085,1,0,0,1,8,1,40.022373706509605
266,11,53,0,21,0,0,0,1,51.21758610309429,0,0,0,1,14,1,30.622623071339667
267,28,42,0,26,0,1,0,0,50.3328582785735,1,1,0,0,14,1,30.116611876319134
268,25,100,0,26,0,0,0,1,59.78293968961958,0,0,0,1,20,1,40.25063385879382
269,50,63,1,22,1,0,0,1,54.357126404496746,1,0,0,1,3,1,40.506112167546846
270,23,27,1,27,0,1,0,0,54.488200910708116,1,0,0,1,1,1,31.22263147815578
271,31,38,0,21,1,0,0,1,62.22198157555773,0,0,0,1,9,1,36.531012221547606
272,30,60,1,24,0,0,1,0,66.06573858074688,0,0,0,1,9,1,43.27583732202752
273,42,7,0,23,1,0,0,1,72.43591723768047,1,0,1,0,2,1,40.93114701848499
274,35,5,1,21,1,1,0,0,44.209863051847265,1,1,0,0,16,1,33.96291868797205
275,7,45,1,27,0,0,0,1,74.69407414008624,0,0,0,1,8,1,47.25188610180511
276,16,58,1,19,1,0,0,1,39.03227056544817,1,1,0,0,6,1,40.04772425380554
277,26,31,0,18,1,0,1,0,69.35247403043127,0,0,0,1,13,1,45.87389021747499
278,48,23,1,21,1,0,0,1,43.66040141308624,0,1,0,0,1,1,26.98028406045864
279,49,42,1,21,1,0,1,0,49.31060203795247,1,0,0,1,19,1,39.59916547939919
280,2,10,0,18,1,0,0,1,50.185759451629735,0,0,0,1,15,1,30.778751892524202
281,1,32,1,23,0,0,0,1,41.33029250171982,1,0,0,1,1,0,25.493494318040497
282,48,53,0,21,1,1,1,0,50.86718666755961,0,0,0,1,10,1,34.66682214112467
283,12,30,1,18,0,0,0,1,41.84661890162358,1,0,0,1,1,1,30.04553313030876
284,5,39,0,18,0,0,0,1,37.650565713293005,0,0,1,0,12,1,21.38533847655313
285,37,31,1,18,0,0,0,1,49.61276366973766,0,0,0,1,11,0,31.829039047327534
286,32,82,1,25,1,0,0,1,65.89876890242934,0,0,0,1,17,1,34.79418373466326
287,9,100,0,27,1,0,0,1,47.45980260983024,0,0,0,1,4,0,34.09928416176138
288,41,2,0,25,0,0,0,1,59.41020915374216,1,0,0,1,7,0,37.603925436211014
289,35,78,0,19,1,0,0,1,41.54333707284181,1,0,0,1,12,1,43.007586463587636
290,19,77,0,28,1,0,1,0,37.165239293654665,0,0,0,1,13,1,28.265820331521827
291,48,93,0,24,0,0,1,0,54.5386015695536,0,0,0,1,5,1,29.638203071534004
292,16,12,1,25,0,0,0,1,67.55612385101446,0,0,0,1,6,1,36.50524499955273
293,3,39,0,25,1,0,0,1,52.08954452133154,0,0,0,1,2,1,37.12222636898523
294,20,66,0,28,0,0,0,1,58.26647446537073,1,0,0,1,7,0,47.05204134817454
295,24,96,1,27,1,0,0,1,64.95124410196476,1,0,0,1,14,1,55.16156524697756
296,33,13,0,28,0,0,1,0,49.63469650317856,1,1,0,0,14,1,27.45736166425075
297,24,46,1,24,0,0,0,1,48.4793671833875,0,0,0,1,10,0,32.104087824980006
298,11,27,1,22,1,1,0,0,54.72088350630632,1,0,0,1,4,1,46.00763139888904
299,49,17,1,18,1,0,1,0,56.500191061181695,0,0,1,0,3,0,30.00431607567163
300,8,95,1,29,1,0,1,0,36.0102491131679,1,1,0,0,14,1,35.53298566672134
